Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
E vs A,201,159,127,113
E vs B,409,73,60,58
E vs C,306,162,40,92
E vs D,311,186,41,62
E vs E,165,266,113,56
E vs F,150,274,112,64
E vs G,207,44,230,119
E vs H,132,263,129,76
E vs I,166,185,118,131
E vs J,209,54,216,121
