Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
D vs A,177,183,159,81
D vs B,287,60,159,94
D vs C,99,154,188,159
D vs D,146,84,237,133
D vs E,246,113,191,50
D vs F,222,160,146,72
D vs G,228,44,260,68
D vs H,199,81,221,99
D vs I,193,75,245,87
D vs J,198,101,233,68
