Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
C vs A,178,197,136,89
C vs B,261,56,160,123
C vs C,111,101,163,225
C vs D,134,61,143,262
C vs E,233,125,152,90
C vs F,193,182,146,79
C vs G,203,26,260,111
C vs H,179,100,215,106
C vs I,210,60,231,99
C vs J,184,74,242,100
