ply number,player type,move,score
1,MAX,d4,
2,MIN,c4,-1
3,MAX,b3,0
4,MIN,c2,-2
5,MAX,b1,0
6,MIN,c1,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,d3,-3
10,MIN,e3,-5
11,MAX,d2,-4
12,MIN,e1,-6
13,MAX,f2,-4
14,MIN,f1,-6
15,MAX,g1,-4
16,MIN,g2,-6
17,MAX,f3,-2
18,MIN,e4,-895
19,MAX,d5,-895
20,MIN,c6,-897
21,MAX,b5,-898
22,MIN,b6,-899
23,MAX,a7,-899
24,MIN,a6,-988
25,MAX,a5,-989
26,MIN,a4,-990
27,MAX,a3,-991
28,MIN,b4,-992
29,MAX,c5,-993
30,MIN,d6,-994
31,MAX,d7,-995
32,MIN,e7,-996
33,MAX,e6,-997
34,MIN,f7,-998
35,MAX,g6,-999
