ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,0
3,MAX,e7,2
4,MIN,f6,1
5,MAX,f5,3
6,MIN,g4,2
7,MAX,g3,5
8,MIN,g2,3
9,MAX,f1,5
10,MIN,g1,2
11,MAX,f2,5
12,MIN,e1,3
13,MAX,d2,6
14,MIN,e2,3
15,MAX,d1,5
16,MIN,c1,2
17,MAX,b1,3
18,MIN,c2,1
19,MAX,c3,3
20,MIN,d4,3
21,MAX,d5,895
22,MIN,e4,894
23,MAX,f3,896
24,MIN,f4,896
25,MAX,e3,897
26,MIN,d3,897
27,MAX,c4,898
28,MIN,b5,898
29,MAX,a6,988
30,MIN,a7,989
31,MAX,b6,990
32,MIN,c7,991
33,MAX,b7,992
34,MIN,c6,993
35,MAX,c5,994
36,MIN,b4,995
37,MAX,a3,996
38,MIN,b3,997
39,MAX,b2,998
40,MIN,a2,999
