ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,c3,-2
5,MAX,b2,0
6,MIN,b3,-2
7,MAX,c4,-1
8,MIN,b4,-4
9,MAX,a5,-2
10,MIN,a6,-5
11,MAX,b6,-4
12,MIN,a7,-6
13,MAX,b7,-1
14,MIN,c7,-4
15,MAX,c6,-1
16,MIN,d5,-6
17,MAX,e4,-4
18,MIN,f3,-6
19,MAX,e2,-5
20,MIN,f2,-7
21,MAX,g1,-7
22,MIN,f1,-988
23,MAX,e1,-989
24,MIN,d1,-990
25,MAX,c1,-991
26,MIN,d2,-992
27,MAX,e3,-993
28,MIN,f4,-994
29,MAX,g4,-995
30,MIN,g5,-996
31,MAX,f5,-997
32,MIN,g6,-998
33,MAX,f6,-999
