ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,b3,-2
5,MAX,a2,0
6,MIN,a3,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,c4,-3
10,MIN,b4,-5
11,MAX,b5,-4
12,MIN,a6,-6
13,MAX,a7,-4
14,MIN,b6,-6
15,MAX,c5,-2
16,MIN,d5,-895
17,MAX,e4,-895
18,MIN,e3,-897
19,MAX,d2,-897
20,MIN,e2,-898
21,MAX,d1,-898
22,MIN,e1,-899
23,MAX,f1,-899
24,MIN,f2,-988
25,MAX,g1,-989
26,MIN,g2,-990
27,MAX,f3,-991
28,MIN,g3,-992
29,MAX,g4,-993
30,MIN,f5,-994
31,MAX,e6,-995
32,MIN,f7,-996
33,MAX,e7,-997
34,MIN,f6,-998
35,MAX,g5,-999
