ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,0
3,MAX,g5,2
4,MIN,f6,1
5,MAX,e6,3
6,MIN,d7,2
7,MAX,c7,5
8,MIN,b7,3
9,MAX,a6,5
10,MIN,a7,2
11,MAX,b6,5
12,MIN,c6,3
13,MAX,d5,6
14,MIN,d4,6
15,MAX,c3,896
16,MIN,b4,894
17,MAX,a3,895
18,MIN,a4,894
19,MAX,b3,895
20,MIN,c4,895
21,MAX,d3,898
22,MIN,e4,898
23,MAX,e3,899
24,MIN,f4,899
25,MAX,g4,988
26,MIN,g3,989
27,MAX,g2,990
28,MIN,g1,991
29,MAX,f2,990
30,MIN,f3,991
31,MAX,e2,992
32,MIN,f1,993
33,MAX,e1,994
34,MIN,d2,995
35,MAX,c2,996
36,MIN,d1,997
37,MAX,c1,998
38,MIN,b1,999
