ply number,player type,move,score
1,MAX,d4,
2,MIN,c4,-1
3,MAX,b3,0
4,MIN,c3,-2
5,MAX,b2,0
6,MIN,c2,-2
7,MAX,d3,-1
8,MIN,d2,-4
9,MAX,e1,-2
10,MIN,f1,-5
11,MAX,f2,-4
12,MIN,g1,-6
13,MAX,g2,-1
14,MIN,g3,-4
15,MAX,f3,-1
16,MIN,e4,-6
17,MAX,d5,-4
18,MIN,c6,-6
19,MAX,b5,-5
20,MIN,b6,-7
21,MAX,a7,-7
22,MIN,a6,-988
23,MAX,a5,-989
24,MIN,a4,-990
25,MAX,a3,-991
26,MIN,b4,-992
27,MAX,c5,-993
28,MIN,d6,-994
29,MAX,d7,-995
30,MIN,e7,-996
31,MAX,e6,-997
32,MIN,f7,-998
33,MAX,f6,-999
