ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,b3,-2
5,MAX,a2,0
6,MIN,a3,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,b4,-3
10,MIN,c4,-5
11,MAX,b5,-4
12,MIN,c5,-6
13,MAX,c6,-4
14,MIN,d5,-895
15,MAX,e4,-895
16,MIN,e3,-897
17,MAX,d2,-897
18,MIN,e2,-898
19,MAX,d1,-898
20,MIN,e1,-899
21,MAX,f1,-899
22,MIN,g2,-988
23,MAX,g1,-989
24,MIN,f2,-990
25,MAX,f3,-991
26,MIN,g3,-992
27,MAX,f4,-993
28,MIN,f5,-994
29,MAX,e6,-995
30,MIN,f6,-996
31,MAX,e7,-997
32,MIN,f7,-998
33,MAX,g6,-999
