ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,0
3,MAX,d7,2
4,MIN,e6,1
5,MAX,d5,3
6,MIN,c5,2
7,MAX,b4,4
8,MIN,b3,1
9,MAX,a2,3
10,MIN,a3,1
11,MAX,a4,3
12,MIN,a5,2
13,MAX,a6,3
14,MIN,a7,0
15,MAX,b6,2
16,MIN,c6,-1
17,MAX,b5,1
18,MIN,c4,-1
19,MAX,c3,0
20,MIN,d2,-2
21,MAX,e1,1
22,MIN,f2,-1
23,MAX,g2,896
24,MIN,g3,896
25,MAX,f4,898
26,MIN,g5,898
27,MAX,g4,899
28,MIN,f5,899
29,MAX,e4,990
30,MIN,f3,991
31,MAX,e3,992
32,MIN,d4,993
33,MAX,d3,994
34,MIN,e2,995
35,MAX,d1,996
36,MIN,c1,997
37,MAX,c2,998
38,MIN,b2,999
