ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-2
3,MAX,e7,1
4,MIN,f6,0
5,MAX,f5,2
6,MIN,g4,1
7,MAX,g3,3
8,MIN,g2,2
9,MAX,f3,5
10,MIN,e4,3
11,MAX,d5,5
12,MIN,c6,3
13,MAX,b7,5
14,MIN,c7,3
15,MAX,d7,6
16,MIN,d6,4
17,MAX,c5,6
18,MIN,d4,4
19,MAX,d3,200
20,MIN,c4,6
21,MAX,b3,990
22,MIN,c2,991
23,MAX,b2,992
24,MIN,c3,993
25,MAX,b4,994
26,MIN,b5,995
27,MAX,a4,996
28,MIN,a5,997
29,MAX,a6,998
30,MIN,a7,999
